condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
Miss,1.05,0.799,1.301,0.123,32.996,-1.9,14.67948717948718
Hit,1.025,0.761,1.289,0.131,41.689,-1.9,14.67948717948718
RP,0.962,0.726,1.198,0.114,24.3,-1.9,14.67948717948718
FTI,1.103,0.798,1.408,0.153,78.538,-1.9,14.67948717948718
Miss,1.0,0.727,1.274,0.134,30.658,-1.9,15.692307692307693
Hit,0.914,0.629,1.199,0.141,37.102,-1.9,15.692307692307693
RP,0.87,0.61,1.13,0.126,24.028,-1.9,15.692307692307693
FTI,0.964,0.642,1.285,0.161,63.369,-1.9,15.692307692307693
Miss,0.994,0.705,1.282,0.141,30.715,-1.9,16.705128205128204
Hit,0.839,0.539,1.14,0.148,37.211,-1.9,16.705128205128204
RP,0.825,0.551,1.099,0.133,24.036,-1.9,16.705128205128204
FTI,0.884,0.545,1.223,0.17,63.718,-1.9,16.705128205128204
Miss,0.978,0.682,1.274,0.145,31.042,-1.9,17.71794871794872
Hit,0.783,0.474,1.091,0.152,37.848,-1.9,17.71794871794872
RP,0.795,0.514,1.076,0.136,24.074,-1.9,17.71794871794872
FTI,0.831,0.482,1.181,0.175,65.782,-1.9,17.71794871794872
Miss,0.937,0.627,1.247,0.152,29.582,-1.9,18.73076923076923
Hit,0.741,0.42,1.062,0.158,35.042,-1.9,18.73076923076923
RP,0.768,0.472,1.065,0.144,23.888,-1.9,18.73076923076923
FTI,0.805,0.448,1.162,0.178,56.856,-1.9,18.73076923076923
Miss,0.879,0.539,1.218,0.166,27.236,-1.9,19.743589743589748
Hit,0.717,0.369,1.065,0.171,30.627,-1.9,19.743589743589748
RP,0.745,0.415,1.075,0.16,23.584,-1.9,19.743589743589748
FTI,0.806,0.431,1.182,0.186,43.508,-1.9,19.743589743589748
Miss,0.816,0.433,1.2,0.186,25.812,-1.9,20.756410256410252
Hit,0.714,0.324,1.104,0.19,28.009,-1.9,20.756410256410252
RP,0.727,0.352,1.103,0.182,23.393,-1.9,20.756410256410252
FTI,0.825,0.414,1.236,0.203,36.062,-1.9,20.756410256410252
Miss,0.761,0.331,1.19,0.209,25.375,-1.9,21.76923076923077
Hit,0.727,0.292,1.162,0.212,27.215,-1.9,21.76923076923077
RP,0.712,0.29,1.134,0.204,23.334,-1.9,21.76923076923077
FTI,0.846,0.391,1.302,0.224,33.879,-1.9,21.76923076923077
Miss,0.72,0.255,1.185,0.226,25.413,-1.9,22.78205128205128
Hit,0.741,0.269,1.212,0.23,27.283,-1.9,22.78205128205128
RP,0.692,0.235,1.149,0.221,23.34,-1.9,22.78205128205128
FTI,0.857,0.363,1.351,0.243,34.065,-1.9,22.78205128205128
Miss,0.696,0.215,1.178,0.234,25.77,-1.9,23.794871794871803
Hit,0.738,0.248,1.227,0.239,27.931,-1.9,23.794871794871803
RP,0.665,0.192,1.137,0.229,23.39,-1.9,23.794871794871803
FTI,0.849,0.333,1.365,0.254,35.841,-1.9,23.794871794871803
Miss,0.677,0.202,1.152,0.231,26.777,-1.9,24.80769230769231
Hit,0.707,0.222,1.193,0.238,29.773,-1.9,24.80769230769231
RP,0.631,0.168,1.094,0.224,23.527,-1.9,24.80769230769231
FTI,0.817,0.297,1.337,0.258,41.029,-1.9,24.80769230769231
Miss,0.647,0.199,1.095,0.219,29.873,-1.9,25.820512820512818
Hit,0.65,0.185,1.115,0.229,35.586,-1.9,25.820512820512818
RP,0.593,0.165,1.021,0.207,23.936,-1.9,25.820512820512818
FTI,0.756,0.237,1.275,0.259,58.531,-1.9,25.820512820512818
Miss,0.598,0.183,1.012,0.205,39.146,-1.9,26.83333333333333
Hit,0.575,0.129,1.021,0.222,54.094,-1.9,26.83333333333333
RP,0.554,0.177,0.931,0.183,25.072,-1.9,26.83333333333333
FTI,0.669,0.129,1.209,0.273,122.547,-1.9,26.83333333333333
Miss,0.532,0.143,0.922,0.195,61.56,-1.9,27.84615384615385
Hit,0.493,0.052,0.934,0.222,103.267,-1.9,27.84615384615385
RP,0.516,0.192,0.84,0.158,27.482,-1.9,27.84615384615385
FTI,0.57,-0.014,1.155,0.297,325.313,-1.9,27.84615384615385
Miss,0.459,0.09,0.828,0.186,97.214,-1.9,28.85897435897436
Hit,0.414,-0.022,0.849,0.221,187.983,-1.9,28.85897435897436
RP,0.475,0.196,0.754,0.137,30.883,-1.9,28.85897435897436
FTI,0.474,-0.138,1.087,0.312,720.938,-1.9,28.85897435897436
Miss,0.386,0.049,0.723,0.17,129.227,-1.9,29.871794871794872
Hit,0.345,-0.061,0.752,0.207,266.377,-1.9,29.871794871794872
RP,0.427,0.188,0.665,0.118,33.807,-1.9,29.871794871794872
FTI,0.389,-0.2,0.978,0.3,1106.393,-1.9,29.871794871794872
Miss,0.317,0.032,0.603,0.144,143.574,-1.9,30.884615384615387
Hit,0.288,-0.059,0.636,0.177,301.469,-1.9,30.884615384615387
RP,0.366,0.169,0.564,0.097,35.117,-1.9,30.884615384615387
FTI,0.315,-0.193,0.824,0.259,1281.671,-1.9,30.884615384615387
Miss,0.254,0.031,0.476,0.112,140.045,-1.9,31.897435897435894
Hit,0.238,-0.032,0.509,0.137,292.928,-1.9,31.897435897435894
RP,0.298,0.143,0.452,0.076,34.767,-1.9,31.897435897435894
FTI,0.25,-0.145,0.644,0.201,1239.49,-1.9,31.897435897435894
Miss,0.197,0.038,0.356,0.08,123.458,-1.9,32.91025641025641
Hit,0.191,-0.0,0.383,0.097,252.366,-1.9,32.91025641025641
RP,0.228,0.114,0.342,0.056,33.227,-1.9,32.91025641025641
FTI,0.192,-0.085,0.468,0.141,1037.825,-1.9,32.91025641025641
Miss,0.149,0.043,0.256,0.054,100.086,-1.9,33.92307692307692
Hit,0.147,0.021,0.273,0.064,195.125,-1.9,33.92307692307692
RP,0.166,0.086,0.246,0.039,31.086,-1.9,33.92307692307692
FTI,0.142,-0.036,0.32,0.091,756.397,-1.9,33.92307692307692
Miss,0.111,0.043,0.18,0.035,77.553,-1.9,34.93589743589744
Hit,0.107,0.028,0.187,0.04,140.77,-1.9,34.93589743589744
RP,0.116,0.062,0.171,0.027,28.983,-1.9,34.93589743589744
FTI,0.102,-0.007,0.211,0.055,496.65,-1.9,34.93589743589744
Miss,0.081,0.037,0.125,0.022,61.335,-1.9,35.94871794871795
Hit,0.075,0.025,0.125,0.025,102.864,-1.9,35.94871794871795
RP,0.079,0.043,0.116,0.018,27.397,-1.9,35.94871794871795
FTI,0.071,0.005,0.137,0.033,323.961,-1.9,35.94871794871795
Miss,0.057,0.029,0.085,0.014,51.86,-1.9,36.96153846153846
Hit,0.05,0.019,0.082,0.016,81.501,-1.9,36.96153846153846
RP,0.053,0.029,0.077,0.012,26.418,-1.9,36.96153846153846
FTI,0.048,0.008,0.089,0.021,231.871,-1.9,36.96153846153846
Miss,0.038,0.02,0.057,0.009,48.318,-1.9,37.97435897435897
Hit,0.033,0.012,0.053,0.01,73.72,-1.9,37.97435897435897
RP,0.035,0.019,0.051,0.008,26.033,-1.9,37.97435897435897
FTI,0.032,0.006,0.058,0.013,199.692,-1.9,37.97435897435897
Miss,0.024,0.012,0.037,0.006,51.801,-1.9,38.987179487179496
Hit,0.02,0.007,0.034,0.007,81.412,-1.9,38.987179487179496
RP,0.023,0.012,0.033,0.005,26.385,-1.9,38.987179487179496
FTI,0.021,0.004,0.039,0.009,231.645,-1.9,38.987179487179496
Miss,0.015,0.007,0.023,0.004,61.823,-1.9,40.0
Hit,0.012,0.003,0.021,0.005,104.102,-1.9,40.0
RP,0.014,0.007,0.021,0.003,27.38,-1.9,40.0
FTI,0.014,0.001,0.026,0.006,329.893,-1.9,40.0
Miss,3.174,0.541,5.807,1.286,28.086,-1.85,0.5
Hit,3.488,0.779,6.198,1.331,32.219,-1.85,0.5
RP,3.494,0.949,6.038,1.232,23.687,-1.85,0.5
FTI,5.429,2.47,8.388,1.472,48.232,-1.85,0.5
Miss,1.13,0.475,1.786,0.319,26.403,-1.85,1.5128205128205128
Hit,1.153,0.484,1.822,0.327,29.093,-1.85,1.5128205128205128
RP,1.006,0.365,1.646,0.31,23.468,-1.85,1.5128205128205128
FTI,1.32,0.607,2.032,0.352,39.109,-1.85,1.5128205128205128
Miss,0.849,0.251,1.448,0.292,28.476,-1.85,2.525641025641025
Hit,0.916,0.299,1.533,0.303,32.949,-1.85,2.525641025641025
RP,0.86,0.283,1.436,0.279,23.741,-1.85,2.525641025641025
FTI,1.207,0.53,1.885,0.337,50.425,-1.85,2.525641025641025
Miss,0.911,0.486,1.336,0.209,32.633,-1.85,3.5384615384615383
Hit,0.836,0.389,1.282,0.221,40.966,-1.85,3.5384615384615383
RP,0.79,0.39,1.19,0.194,24.262,-1.85,3.5384615384615383
FTI,1.304,0.79,1.818,0.258,76.085,-1.85,3.5384615384615383
Miss,0.955,0.636,1.275,0.157,32.237,-1.85,4.55128205128205
Hit,0.877,0.542,1.212,0.166,40.2,-1.85,4.55128205128205
RP,0.828,0.527,1.129,0.146,24.203,-1.85,4.55128205128205
FTI,1.2,0.815,1.584,0.193,73.559,-1.85,4.55128205128205
Miss,1.029,0.735,1.324,0.144,30.894,-1.85,5.564102564102564
Hit,1.003,0.696,1.31,0.152,37.591,-1.85,5.564102564102564
RP,0.942,0.662,1.221,0.135,24.03,-1.85,5.564102564102564
FTI,1.088,0.741,1.435,0.174,65.021,-1.85,5.564102564102564
Miss,1.245,0.779,1.712,0.229,31.285,-1.85,6.5769230769230775
Hit,1.228,0.74,1.715,0.241,38.366,-1.85,6.5769230769230775
RP,1.258,0.816,1.7,0.214,24.064,-1.85,6.5769230769230775
FTI,1.372,0.819,1.926,0.277,67.578,-1.85,6.5769230769230775
Miss,1.604,0.901,2.307,0.344,30.321,-1.85,7.589743589743589
Hit,1.541,0.809,2.272,0.361,36.512,-1.85,7.589743589743589
RP,1.693,1.023,2.363,0.325,23.932,-1.85,7.589743589743589
FTI,1.946,1.124,2.768,0.411,61.629,-1.85,7.589743589743589
Miss,2.028,1.256,2.799,0.378,29.592,-1.85,8.602564102564102
Hit,1.873,1.073,2.673,0.394,35.123,-1.85,8.602564102564102
RP,2.031,1.293,2.769,0.358,23.831,-1.85,8.602564102564102
FTI,2.572,1.681,3.464,0.445,57.262,-1.85,8.602564102564102
Miss,2.419,1.664,3.175,0.37,30.077,-1.85,9.615384615384617
Hit,2.078,1.293,2.863,0.387,36.052,-1.85,9.615384615384617
RP,2.224,1.503,2.945,0.349,23.892,-1.85,9.615384615384617
FTI,2.918,2.038,3.799,0.44,60.191,-1.85,9.615384615384617
Miss,2.458,1.812,3.104,0.317,31.42,-1.85,10.628205128205126
Hit,2.022,1.347,2.697,0.334,38.645,-1.85,10.628205128205126
RP,2.146,1.534,2.757,0.296,24.065,-1.85,10.628205128205126
FTI,2.788,2.019,3.556,0.385,68.538,-1.85,10.628205128205126
Miss,2.093,1.622,2.563,0.232,34.065,-1.85,11.64102564102564
Hit,1.771,1.273,2.268,0.247,43.88,-1.85,11.64102564102564
RP,1.817,1.378,2.256,0.213,24.372,-1.85,11.64102564102564
FTI,2.3,1.719,2.881,0.292,86.207,-1.85,11.64102564102564
Miss,1.603,1.281,1.926,0.159,37.287,-1.85,12.653846153846152
Hit,1.451,1.107,1.796,0.172,50.454,-1.85,12.653846153846152
RP,1.423,1.127,1.718,0.143,24.71,-1.85,12.653846153846152
FTI,1.733,1.32,2.147,0.209,109.7,-1.85,12.653846153846152
Miss,1.236,0.999,1.473,0.117,37.897,-1.85,13.666666666666664
Hit,1.171,0.917,1.424,0.126,51.692,-1.85,13.666666666666664
RP,1.111,0.895,1.328,0.105,24.792,-1.85,13.666666666666664
FTI,1.31,1.004,1.615,0.154,114.187,-1.85,13.666666666666664
Miss,1.05,0.829,1.271,0.109,33.561,-1.85,14.67948717948718
Hit,0.982,0.748,1.215,0.116,42.821,-1.85,14.67948717948718
RP,0.926,0.719,1.133,0.1,24.359,-1.85,14.67948717948718
FTI,1.083,0.812,1.354,0.136,82.415,-1.85,14.67948717948718
Miss,0.985,0.744,1.226,0.118,30.472,-1.85,15.692307692307693
Hit,0.875,0.624,1.126,0.124,36.751,-1.85,15.692307692307693
RP,0.841,0.611,1.071,0.111,23.999,-1.85,15.692307692307693
FTI,0.983,0.7,1.265,0.141,62.262,-1.85,15.692307692307693
Miss,0.962,0.702,1.221,0.127,29.54,-1.85,16.705128205128204
Hit,0.817,0.548,1.086,0.132,34.964,-1.85,16.705128205128204
RP,0.807,0.559,1.056,0.12,23.881,-1.85,16.705128205128204
FTI,0.925,0.626,1.225,0.149,56.617,-1.85,16.705128205128204
Miss,0.939,0.665,1.213,0.134,29.027,-1.85,17.71794871794872
Hit,0.782,0.499,1.066,0.139,33.989,-1.85,17.71794871794872
RP,0.787,0.524,1.05,0.127,23.814,-1.85,17.71794871794872
FTI,0.872,0.559,1.185,0.156,53.597,-1.85,17.71794871794872
Miss,0.912,0.614,1.209,0.145,28.194,-1.85,18.73076923076923
Hit,0.76,0.454,1.067,0.151,32.417,-1.85,18.73076923076923
RP,0.766,0.478,1.054,0.139,23.707,-1.85,18.73076923076923
FTI,0.818,0.483,1.153,0.167,48.813,-1.85,18.73076923076923
Miss,0.881,0.544,1.217,0.164,27.136,-1.85,19.743589743589748
Hit,0.748,0.404,1.093,0.169,30.44,-1.85,19.743589743589748
RP,0.745,0.418,1.072,0.158,23.57,-1.85,19.743589743589748
FTI,0.767,0.397,1.138,0.184,42.966,-1.85,19.743589743589748
Miss,0.842,0.462,1.223,0.185,26.209,-1.85,20.756410256410252
Hit,0.75,0.362,1.138,0.19,28.733,-1.85,20.756410256410252
RP,0.728,0.356,1.1,0.18,23.447,-1.85,20.756410256410252
FTI,0.724,0.313,1.136,0.203,38.081,-1.85,20.756410256410252
Miss,0.796,0.375,1.216,0.204,25.744,-1.85,21.76923076923077
Hit,0.763,0.336,1.19,0.209,27.885,-1.85,21.76923076923077
RP,0.715,0.303,1.128,0.2,23.385,-1.85,21.76923076923077
FTI,0.693,0.243,1.143,0.222,35.717,-1.85,21.76923076923077
Miss,0.751,0.3,1.201,0.219,25.94,-1.85,22.78205128205128
Hit,0.774,0.316,1.232,0.224,28.24,-1.85,22.78205128205128
RP,0.702,0.26,1.143,0.214,23.412,-1.85,22.78205128205128
FTI,0.674,0.19,1.158,0.239,36.699,-1.85,22.78205128205128
Miss,0.716,0.25,1.182,0.227,26.88,-1.85,23.794871794871803
Hit,0.764,0.287,1.24,0.233,29.963,-1.85,23.794871794871803
RP,0.682,0.228,1.136,0.22,23.541,-1.85,23.794871794871803
FTI,0.662,0.151,1.173,0.253,41.575,-1.85,23.794871794871803
Miss,0.69,0.228,1.153,0.226,28.753,-1.85,24.80769230769231
Hit,0.717,0.24,1.194,0.235,33.458,-1.85,24.80769230769231
RP,0.653,0.208,1.098,0.215,23.79,-1.85,24.80769230769231
FTI,0.645,0.119,1.17,0.262,51.942,-1.85,24.80769230769231
Miss,0.659,0.222,1.096,0.215,32.165,-1.85,25.820512820512818
Hit,0.633,0.175,1.092,0.227,40.022,-1.85,25.820512820512818
RP,0.615,0.203,1.028,0.2,24.227,-1.85,25.820512820512818
FTI,0.612,0.087,1.137,0.264,72.868,-1.85,25.820512820512818
Miss,0.611,0.215,1.007,0.196,38.306,-1.85,26.83333333333333
Hit,0.528,0.104,0.953,0.212,52.364,-1.85,26.83333333333333
RP,0.57,0.209,0.932,0.176,24.97,-1.85,26.83333333333333
FTI,0.562,0.05,1.074,0.258,116.164,-1.85,26.83333333333333
Miss,0.547,0.198,0.896,0.174,48.334,-1.85,27.84615384615385
Hit,0.426,0.041,0.81,0.193,73.665,-1.85,27.84615384615385
RP,0.52,0.215,0.825,0.148,26.092,-1.85,27.84615384615385
FTI,0.498,0.009,0.987,0.248,199.169,-1.85,27.84615384615385
Miss,0.474,0.17,0.777,0.152,61.041,-1.85,28.85897435897436
Hit,0.344,0.001,0.687,0.173,102.124,-1.85,28.85897435897436
RP,0.465,0.213,0.718,0.123,27.404,-1.85,28.85897435897436
FTI,0.429,-0.026,0.883,0.231,320.445,-1.85,28.85897435897436
Miss,0.399,0.141,0.658,0.13,71.29,-1.85,29.871794871794872
Hit,0.289,-0.008,0.586,0.15,125.933,-1.85,29.871794871794872
RP,0.406,0.198,0.615,0.102,28.398,-1.85,29.871794871794872
FTI,0.36,-0.042,0.762,0.205,427.799,-1.85,29.871794871794872
Miss,0.328,0.116,0.541,0.107,74.356,-1.85,30.884615384615387
Hit,0.252,0.007,0.497,0.124,133.184,-1.85,30.884615384615387
RP,0.342,0.172,0.512,0.083,28.681,-1.85,30.884615384615387
FTI,0.294,-0.039,0.628,0.17,461.333,-1.85,30.884615384615387
Miss,0.263,0.096,0.429,0.083,70.326,-1.85,31.897435897435894
Hit,0.221,0.03,0.412,0.096,123.709,-1.85,31.897435897435894
RP,0.277,0.142,0.412,0.066,28.286,-1.85,31.897435897435894
FTI,0.234,-0.024,0.492,0.131,417.762,-1.85,31.897435897435894
Miss,0.205,0.081,0.329,0.062,62.339,-1.85,32.91025641025641
Hit,0.188,0.048,0.329,0.071,105.167,-1.85,32.91025641025641
RP,0.215,0.112,0.318,0.05,27.498,-1.85,32.91025641025641
FTI,0.18,-0.007,0.367,0.095,334.154,-1.85,32.91025641025641
Miss,0.157,0.068,0.247,0.045,53.753,-1.85,33.92307692307692
Hit,0.154,0.054,0.254,0.05,85.701,-1.85,33.92307692307692
RP,0.16,0.083,0.236,0.037,26.622,-1.85,33.92307692307692
FTI,0.134,0.004,0.264,0.066,249.553,-1.85,33.92307692307692
Miss,0.118,0.054,0.182,0.032,47.222,-1.85,34.93589743589744
Hit,0.12,0.049,0.19,0.035,71.311,-1.85,34.93589743589744
RP,0.115,0.059,0.171,0.027,25.929,-1.85,34.93589743589744
FTI,0.097,0.008,0.185,0.045,189.818,-1.85,34.93589743589744
Miss,0.086,0.041,0.131,0.022,43.916,-1.85,35.94871794871795
Hit,0.089,0.04,0.138,0.025,64.191,-1.85,35.94871794871795
RP,0.08,0.04,0.12,0.02,25.567,-1.85,35.94871794871795
FTI,0.068,0.006,0.129,0.031,161.399,-1.85,35.94871794871795
Miss,0.059,0.028,0.091,0.016,43.017,-1.85,36.96153846153846
Hit,0.064,0.03,0.098,0.017,62.276,-1.85,36.96153846153846
RP,0.054,0.026,0.082,0.014,25.468,-1.85,36.96153846153846
FTI,0.046,0.004,0.088,0.021,153.903,-1.85,36.96153846153846
Miss,0.039,0.018,0.059,0.01,42.649,-1.85,37.97435897435897
Hit,0.043,0.021,0.066,0.011,61.491,-1.85,37.97435897435897
RP,0.036,0.017,0.054,0.009,25.429,-1.85,37.97435897435897
FTI,0.031,0.003,0.059,0.014,150.84,-1.85,37.97435897435897
Miss,0.024,0.01,0.037,0.007,41.352,-1.85,38.987179487179496
Hit,0.028,0.013,0.042,0.007,58.747,-1.85,38.987179487179496
RP,0.023,0.011,0.035,0.006,25.289,-1.85,38.987179487179496
FTI,0.02,0.003,0.038,0.009,140.249,-1.85,38.987179487179496
Miss,0.014,0.006,0.022,0.004,39.319,-1.85,40.0
Hit,0.016,0.008,0.025,0.004,54.494,-1.85,40.0
RP,0.014,0.007,0.021,0.004,25.061,-1.85,40.0
FTI,0.013,0.003,0.024,0.005,124.159,-1.85,40.0
Miss,3.112,0.516,5.707,1.267,27.934,-1.8,0.5
Hit,3.427,0.758,6.096,1.31,31.934,-1.8,0.5
RP,3.423,0.913,5.933,1.215,23.668,-1.8,0.5
FTI,5.352,2.443,8.26,1.446,47.379,-1.8,0.5
Miss,1.126,0.485,1.767,0.312,26.25,-1.8,1.5128205128205128
Hit,1.148,0.495,1.801,0.319,28.812,-1.8,1.5128205128205128
RP,0.995,0.369,1.622,0.303,23.447,-1.8,1.5128205128205128
FTI,1.273,0.579,1.966,0.343,38.317,-1.8,1.5128205128205128
Miss,0.863,0.279,1.447,0.285,28.295,-1.8,2.525641025641025
Hit,0.892,0.29,1.494,0.296,32.608,-1.8,2.525641025641025
RP,0.856,0.292,1.419,0.273,23.718,-1.8,2.525641025641025
FTI,1.19,0.531,1.849,0.328,49.395,-1.8,2.525641025641025
Miss,0.922,0.512,1.332,0.201,31.554,-1.8,3.5384615384615383
Hit,0.808,0.379,1.237,0.212,38.854,-1.8,3.5384615384615383
RP,0.79,0.401,1.178,0.188,24.128,-1.8,3.5384615384615383
FTI,1.253,0.764,1.742,0.245,69.087,-1.8,3.5384615384615383
Miss,0.961,0.654,1.267,0.15,31.001,-1.8,4.55128205128205
Hit,0.883,0.563,1.203,0.158,37.79,-1.8,4.55128205128205
RP,0.831,0.54,1.122,0.141,24.049,-1.8,4.55128205128205
FTI,1.116,0.754,1.479,0.181,65.648,-1.8,4.55128205128205
Miss,1.034,0.744,1.323,0.142,30.273,-1.8,5.564102564102564
Hit,1.022,0.721,1.323,0.149,36.391,-1.8,5.564102564102564
RP,0.952,0.676,1.228,0.134,23.953,-1.8,5.564102564102564
FTI,1.002,0.663,1.34,0.169,61.168,-1.8,5.564102564102564
Miss,1.248,0.786,1.709,0.226,30.823,-1.8,6.5769230769230775
Hit,1.272,0.79,1.753,0.238,37.466,-1.8,6.5769230769230775
RP,1.271,0.832,1.709,0.212,24.01,-1.8,6.5769230769230775
FTI,1.312,0.768,1.856,0.272,64.65,-1.8,6.5769230769230775
Miss,1.619,0.923,2.316,0.341,29.79,-1.8,7.589743589743589
Hit,1.635,0.912,2.358,0.356,35.489,-1.8,7.589743589743589
RP,1.71,1.044,2.376,0.323,23.867,-1.8,7.589743589743589
FTI,1.846,1.038,2.654,0.404,58.383,-1.8,7.589743589743589
Miss,2.047,1.28,2.814,0.375,29.279,-1.8,8.602564102564102
Hit,1.929,1.135,2.724,0.391,34.525,-1.8,8.602564102564102
RP,2.076,1.34,2.811,0.356,23.792,-1.8,8.602564102564102
FTI,2.378,1.496,3.26,0.44,55.394,-1.8,8.602564102564102
Miss,2.436,1.682,3.191,0.369,29.686,-1.8,9.615384615384617
Hit,2.071,1.289,2.854,0.386,35.301,-1.8,9.615384615384617
RP,2.298,1.576,3.019,0.349,23.844,-1.8,9.615384615384617
FTI,2.66,1.787,3.533,0.436,57.817,-1.8,9.615384615384617
Miss,2.465,1.816,3.114,0.318,31.084,-1.8,10.628205128205126
Hit,1.991,1.313,2.668,0.335,37.993,-1.8,10.628205128205126
RP,2.226,1.61,2.841,0.298,24.023,-1.8,10.628205128205126
FTI,2.537,1.769,3.305,0.385,66.412,-1.8,10.628205128205126
Miss,2.086,1.612,2.56,0.233,33.91,-1.8,11.64102564102564
Hit,1.745,1.244,2.245,0.248,43.576,-1.8,11.64102564102564
RP,1.877,1.434,2.319,0.215,24.35,-1.8,11.64102564102564
FTI,2.107,1.523,2.691,0.294,85.17,-1.8,11.64102564102564
Miss,1.59,1.268,1.911,0.159,37.801,-1.8,12.653846153846152
Hit,1.436,1.092,1.781,0.172,51.528,-1.8,12.653846153846152
RP,1.454,1.16,1.748,0.143,24.756,-1.8,12.653846153846152
FTI,1.605,1.191,2.02,0.209,113.679,-1.8,12.653846153846152
Miss,1.212,0.982,1.442,0.114,40.213,-1.8,13.666666666666664
Hit,1.165,0.916,1.414,0.124,56.546,-1.8,13.666666666666664
RP,1.122,0.914,1.33,0.101,25.021,-1.8,13.666666666666664
FTI,1.223,0.919,1.527,0.154,132.444,-1.8,13.666666666666664
Miss,1.001,0.793,1.208,0.102,36.707,-1.8,14.67948717948718
Hit,0.985,0.763,1.206,0.11,49.178,-1.8,14.67948717948718
RP,0.928,0.737,1.119,0.093,24.712,-1.8,14.67948717948718
FTI,1.016,0.752,1.28,0.133,104.823,-1.8,14.67948717948718
Miss,0.906,0.685,1.127,0.109,32.696,-1.8,15.692307692307693
Hit,0.88,0.647,1.112,0.115,41.091,-1.8,15.692307692307693
RP,0.842,0.635,1.05,0.101,24.27,-1.8,15.692307692307693
FTI,0.937,0.669,1.204,0.134,76.503,-1.8,15.692307692307693
Miss,0.867,0.629,1.105,0.117,30.645,-1.8,16.705128205128204
Hit,0.814,0.566,1.062,0.122,37.085,-1.8,16.705128205128204
RP,0.813,0.586,1.039,0.11,24.019,-1.8,16.705128205128204
FTI,0.912,0.632,1.192,0.14,63.336,-1.8,16.705128205128204
Miss,0.851,0.595,1.108,0.126,29.305,-1.8,17.71794871794872
Hit,0.774,0.508,1.04,0.131,34.519,-1.8,17.71794871794872
RP,0.797,0.55,1.043,0.119,23.849,-1.8,17.71794871794872
FTI,0.888,0.593,1.183,0.147,55.236,-1.8,17.71794871794872
Miss,0.849,0.563,1.136,0.14,28.351,-1.8,18.73076923076923
Hit,0.763,0.468,1.058,0.145,32.713,-1.8,18.73076923076923
RP,0.774,0.498,1.05,0.134,23.727,-1.8,18.73076923076923
FTI,0.842,0.518,1.165,0.161,49.707,-1.8,18.73076923076923
Miss,0.85,0.525,1.175,0.159,27.658,-1.8,19.743589743589748
Hit,0.779,0.446,1.113,0.164,31.411,-1.8,19.743589743589748
RP,0.744,0.429,1.059,0.153,23.638,-1.8,19.743589743589748
FTI,0.773,0.41,1.135,0.18,45.813,-1.8,19.743589743589748
Miss,0.84,0.476,1.203,0.177,27.055,-1.8,20.756410256410252
Hit,0.807,0.435,1.179,0.182,30.29,-1.8,20.756410256410252
RP,0.713,0.36,1.067,0.171,23.56,-1.8,20.756410256410252
FTI,0.696,0.296,1.096,0.198,42.526,-1.8,20.756410256410252
Miss,0.813,0.417,1.208,0.193,26.565,-1.8,21.76923076923077
Hit,0.827,0.423,1.23,0.197,29.384,-1.8,21.76923076923077
RP,0.689,0.303,1.075,0.187,23.496,-1.8,21.76923076923077
FTI,0.629,0.198,1.06,0.213,39.923,-1.8,21.76923076923077
Miss,0.777,0.356,1.197,0.205,26.394,-1.8,22.78205128205128
Hit,0.822,0.393,1.25,0.21,29.07,-1.8,22.78205128205128
RP,0.671,0.26,1.081,0.199,23.474,-1.8,22.78205128205128
FTI,0.581,0.124,1.038,0.226,39.03,-1.8,22.78205128205128
Miss,0.739,0.303,1.176,0.213,26.829,-1.8,23.794871794871803
Hit,0.784,0.337,1.23,0.218,29.869,-1.8,23.794871794871803
RP,0.654,0.229,1.079,0.206,23.533,-1.8,23.794871794871803
FTI,0.548,0.069,1.026,0.237,41.305,-1.8,23.794871794871803
Miss,0.7,0.263,1.137,0.213,28.148,-1.8,24.80769230769231
Hit,0.711,0.262,1.161,0.221,32.321,-1.8,24.80769230769231
RP,0.632,0.21,1.054,0.204,23.71,-1.8,24.80769230769231
FTI,0.52,0.029,1.011,0.244,48.506,-1.8,24.80769230769231
Miss,0.652,0.236,1.068,0.204,30.702,-1.8,25.820512820512818
Hit,0.61,0.177,1.044,0.214,37.18,-1.8,25.820512820512818
RP,0.6,0.204,0.996,0.192,24.04,-1.8,25.820512820512818
FTI,0.492,0.003,0.981,0.245,63.601,-1.8,25.820512820512818
Miss,0.59,0.214,0.967,0.185,34.687,-1.8,26.83333333333333
Hit,0.497,0.098,0.895,0.198,45.022,-1.8,26.83333333333333
RP,0.557,0.206,0.907,0.17,24.533,-1.8,26.83333333333333
FTI,0.459,-0.008,0.927,0.235,89.885,-1.8,26.83333333333333
Miss,0.519,0.194,0.843,0.161,39.079,-1.8,27.84615384615385
Hit,0.395,0.045,0.744,0.174,53.977,-1.8,27.84615384615385
RP,0.502,0.207,0.798,0.143,25.048,-1.8,27.84615384615385
FTI,0.422,-0.001,0.846,0.214,122.173,-1.8,27.84615384615385
Miss,0.445,0.177,0.714,0.133,40.941,-1.8,28.85897435897436
Hit,0.321,0.031,0.611,0.145,57.863,-1.8,28.85897435897436
RP,0.44,0.198,0.682,0.118,25.258,-1.8,28.85897435897436
FTI,0.379,0.023,0.735,0.18,136.809,-1.8,28.85897435897436
